company,year,K_book_real,I_real_cf_signed,I_real_pim,disposals_real,depr_real,flows_imputed_flag,gap_years_from_prev,I_real,K_PIM_real_low,gap_book_minus_PIM_low,K_PIM_real_central,gap_book_minus_PIM_central,K_PIM_real_high,gap_book_minus_PIM_high
Haifa Port Company (legacy),2018,1171216.3579983236,-31099.86050894401,31099.86050894401,1770.606377370291,67454.16404794653,False,0,31099.86050894401,1171216.3579983236,0.0,1171216.3579983236,0.0,1171216.3579983236,0.0
Haifa Port Company (legacy),2019,1010641.0,-25025.0,25025.0,1688.0,67739.0,False,1,25025.0,1147704.7036783907,-137063.7036783907,1124280.3765184241,-113639.37651842413,1100856.0493584578,-90215.04935845779
Haifa Port Company (legacy),2020,975295.6330073418,-48662.44093811719,48662.44093811719,490.7219873439027,69583.78538445513,False,1,48662.44093811719,1149968.2344820283,-174672.60147468653,1104995.272878092,-129699.63987075025,1060959.2843605545,-85663.65135321277
Haifa Port Company (legacy),2021,952829.6441968976,-71792.4962846338,71792.4962846338,0.0,68984.62725603323,False,1,71792.4962846338,1175762.001387381,-222932.35719048337,1110488.0527900402,-157658.40859314252,1047875.037896344,-95045.39369944634
Haifa Port Company (legacy),2022,917530.372762108,,,,,True,1,,1128731.5213318858,-211201.14856977784,1043858.7696226377,-126328.39686052967,964045.0348646365,-46514.6621025285
Haifa Port Company (legacy),2023,891305.9428478417,-81544.16726696592,81544.16726696592,,58611.1773079555,True,1,81544.16726696592,1165126.4277455762,-273820.4848977346,1062771.4107122452,-171465.4678644035,968465.5993424315,-77159.65649458987
Haifa Port Company (legacy),2024,782227.4329333038,-49461.53050237554,49461.53050237554,,51195.67411225384,True,1,49461.53050237554,1167982.9011381287,-385755.46820482495,1048466.6565718859,-266239.22363858216,940449.8818974126,-158222.44896410883
