reform	target	spec_name	event_time	beta	se	t	pvalue	n_event_obs	n_obs	r2
haifa_comp	Haifa-Bayport terminal	tr_shocks	-24	2.510521238783769	1.7424817721515193e-11	144077331476.69702	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-23	2.5891543588849206	2.0325980445157756e-11	127381523654.95033	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-22	2.2738185939362894	2.15335367783415e-11	105594293094.63477	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-21	2.335308021751395	3.099382593163336e-11	75347523306.82413	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-20	2.5503346877595807	4.441775906147193e-11	57417004856.774666	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-19	2.5098662002514427	1.535458686267695e-11	163460353749.5549	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-18	2.526135616162289	3.685234744782279e-11	68547481805.3017	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-17	2.335791941397327	3.562678455830082e-11	65562805354.35248	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-16	2.424109996488121	2.9233827815409604e-11	82921402280.76239	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-15	2.4304293276175883	3.3647792654463465e-11	72231464113.44714	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-14	2.363227280777067	1.6191950629084358e-11	145950746448.80545	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-13	2.6109219643491275	2.7067825405519022e-11	96458504709.31332	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-12	2.5147176219649157	1.687250764937782e-11	149042316306.64853	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-11	2.4291489861572253	1.4872372731217582e-11	163332981902.63644	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-10	2.3384481286811423	9.378171566409273e-12	249350111812.51938	0.0	1.0	91	1.0
haifa_comp	Haifa-Bayport terminal	tr_shocks	-9	2.455553772717328	3.753219633523735e-11	65425261841.44239	0.0	1.0	91	1.0
