design	table_group	reform	target	target_key	spec_name	window	a	b	beta	se	n_obs	r2	used_bins
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1	1	4	-0.7172703411819122	0.044019798595837864	28	0.8349536799473694	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y2	5	8	-0.9143556699817796	0.13404137213154654	28	0.8349536799473694	bin_y2_q5_8
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y3	9	12	0.0	0.0	28	0.8349536799473694	bin_y3_q9_12
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	post_y1_2	1	8	-0.815813005581846	0.08358042905917626	28	0.8349536799473694	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	privatization	haifa_priv	Haifa-Legacy	haifa_legacy	porttr	full_post	1	40	-0.16316260111636918	0.016716085811835254	28	0.8349536799473694	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	avg_pre	-4	-2	1.069637425561756	0.3856654722267279	28	0.8970271780336675	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1	1	4	0.9223056508903721	1.3207083986286842e-14	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y2	5	8	1.1939061398911768	0.15083755136449248	28	0.8970271780336675	bin_y2_q5_8
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y3	9	12	0.0	0.0	28	0.8970271780336675	bin_y3_q9_12
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	post_y1_2	1	8	1.0581058953907745	0.07541877568224625	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	baseline	full_post	1	40	0.21162117907815492	0.015083755136449252	28	0.8970271780336675	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	avg_pre	-4	-2	0.2953329272448584	0.1789727764436928	28	0.10552686890983587	bin_pre_4_2
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1	1	4	0.29738440660746057	0.0728464675933392	28	0.10552686890983587	bin_q1,bin_q2,bin_q3,bin_q4
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y2	5	8	0.4642486637073979	0.14963515201239153	28	0.10552686890983587	bin_y2_q5_8
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y3	9	12	0.0	0.0	28	0.10552686890983587	bin_y3_q9_12
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	post_y1_2	1	8	0.38081653515742925	0.11064523219581755	28	0.10552686890983587	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8
TWFE	privatization	haifa_priv	Haifa-Bayport	haifa_bayport_placebo	porttr	full_post	1	40	0.07616330703148586	0.02212904643916351	28	0.10552686890983587	bin_q1,bin_q2,bin_q3,bin_q4,bin_y2_q5_8,bin_y3_q9_12,bin_y4p_q13_40
