port	terminal	year	quarter	TEU_i_q	tons_i_q	L_hours_i_q	LP_raw
Ashdod	Ashdod-Legacy	2021	Q3	408566.326442004		10160.557363143624	40.21101518741839
Ashdod	Ashdod-Legacy	2021	Q4	397432.6401498001		10668.076080119068	37.25438749827179
Ashdod	Ashdod-Legacy	2022	Q1	360499.0		10651.296174813107	33.84555213594232
Ashdod	Ashdod-Legacy	2022	Q2	374179.0		10695.39917210006	34.98504300578894
Ashdod	Ashdod-Legacy	2022	Q3	374345.0		9253.617803283683	40.45390764541433
Ashdod	Ashdod-Legacy	2022	Q4	322016.0		8076.416579532879	39.8711479068635
Ashdod	Ashdod-Legacy	2023	Q1	302791.0		9175.59037094853	32.99962048858322
Ashdod	Ashdod-Legacy	2023	Q2	290606.0		7443.635470073775	39.04086936663487
Ashdod	Ashdod-Legacy	2023	Q3	288594.0		8050.677980439117	35.84716724494536
Ashdod	Ashdod-Legacy	2023	Q4	240054.0		7388.524749967152	32.49011245459619
Ashdod	Ashdod-Legacy	2024	Q1	280925.0		8363.911373232777	33.58775427714967
Ashdod	Ashdod-Legacy	2024	Q2	262311.0		6890.856902075633	38.066528405340684
Ashdod	Ashdod-Legacy	2024	Q3	309830.0		7546.8459331848735	41.05423679548304
Ashdod	Ashdod-Legacy	2024	Q4	302369.0		7604.5700020330305	39.76148551715136
