row_key	row_label	reform	entity	estimator_family	horizon	m_start	m_end	TE	TE_se	TE_N	TE_R2	TE_status	TE_reason	dC	dC_se	dC_N	dC_R2	dC_status	dC_reason	eta	eta_se	eta_source	eta_entity	eta_status	eta_reason	CD	residual	share_explained	sign_consistent	share_valid	spec_te	spec_dC	status	reason
competition_legacy	Competition - Legacy	haifa_comp	Haifa--Legacy	NYT	[1,13]	1	13	2.637051842175831	1.6035705629370133e-11	76.0	1.0	ok	exact requested window and preferred spec found					unavailable	exact requested post window [1,13] not found	0.251		HPC_labor_share	Haifa--Legacy	ok	preferred elasticity found				False	False	porttr		unavailable	competition K/L decomposition not estimated under current Haifa-only capital design
competition_aggregate	Competition - Aggregate	haifa_comp	Haifa port cluster	NYT	[1,13]	1	13					unavailable	exact requested post window [1,13] not found					unavailable	exact requested post window [1,13] not found	0.251		HPC_labor_share	Haifa--Legacy	ok	preferred elasticity found				False	False			unavailable	aggregate competition K/L decomposition not estimated under current Haifa-only capital design
privatization_aggregate	Privatization - Aggregate	haifa_priv	Haifa port cluster	NYT	[1,8]	1	8					unavailable	exact requested post window [1,8] not found					unavailable	exact requested post window [1,8] not found	0.251		HPC_labor_share	Haifa--Legacy	ok	preferred elasticity found				False	False			unavailable	aggregate privatization K/L comparison unavailable under current design
